subject_num	condition	rt	response	color	valence	age	gender
83	mixed	526.291797029736	incorrect	green	negative	21	1
83	mixed	NA	tooslow	green	positive	21	1
83	mixed	338.931983222286	correct	green	negative	21	1
83	mixed	637.562002740409	incorrect	red	negative	21	1
83	mixed	663.841484473604	correct	green	negative	21	1
83	mixed	626.459190448023	correct	green	negative	21	1
83	mixed	NA	tooslow	green	negative	21	1
83	mixed	445.897775136742	correct	green	positive	21	1
83	mixed	281.791833386843	correct	green	positive	21	1
83	mixed	NA	tooslow	red	positive	21	1
83	mixed	322.042067419576	correct	red	negative	21	1
83	mixed	527.946871054036	correct	red	positive	21	1
83	mixed	737.265123152508	correct	red	positive	21	1
83	mixed	406.790495939436	correct	green	negative	21	1
83	mixed	NA	tooslow	green	negative	21	1
83	mixed	553.755843539543	correct	green	positive	21	1
83	mixed	478.639611993635	correct	green	negative	21	1
83	mixed	534.304691628356	correct	red	negative	21	1
83	mixed	414.856436382075	correct	green	positive	21	1
83	mixed	NA	tooslow	red	positive	21	1
83	mixed	536.409594425224	correct	green	positive	21	1
83	mixed	416.580028263145	correct	green	negative	21	1
83	mixed	518.104751923046	correct	green	positive	21	1
83	mixed	665.091066445365	correct	green	negative	21	1
83	mixed	551.879727691682	correct	green	negative	21	1
83	mixed	521.697180734792	correct	green	positive	21	1
83	mixed	551.07142735138	correct	green	positive	21	1
83	mixed	608.896165908309	correct	green	positive	21	1
83	mixed	495.71699103124	correct	green	positive	21	1
83	mixed	899.467328355047	correct	red	negative	21	1
83	mixed	670.735961411547	incorrect	green	negative	21	1
83	mixed	188.553865450077	correct	red	negative	21	1
83	mixed	464.163090524687	correct	red	negative	21	1
83	mixed	599.179320559383	correct	red	negative	21	1
83	mixed	545.026768935244	incorrect	green	positive	21	1
83	mixed	589.175300760575	correct	red	negative	21	1
83	mixed	491.436037619374	correct	green	negative	21	1
83	mixed	677.691197628962	correct	red	positive	21	1
83	mixed	NA	tooslow	red	negative	21	1
83	mixed	401.763210610646	correct	red	negative	21	1
83	mixed	345.91858852106	correct	green	positive	21	1
83	mixed	403.092886192439	correct	red	positive	21	1
83	mixed	378.192235576615	correct	red	negative	21	1
83	mixed	658.481592492682	correct	red	positive	21	1
83	mixed	789.883628079628	correct	green	positive	21	1
83	mixed	480.455394715081	correct	green	positive	21	1
83	mixed	495.13982924447	correct	green	negative	21	1
83	mixed	669.754371794895	correct	red	positive	21	1
83	mixed	360.85719021895	correct	red	positive	21	1
83	mixed	518.797992129279	correct	green	negative	21	1
83	mixed	543.151965903782	correct	red	negative	21	1
83	mixed	597.282331372652	correct	red	positive	21	1
83	mixed	642.873590853182	correct	green	negative	21	1
83	mixed	374.528056626051	correct	red	negative	21	1
83	mixed	755.572888517669	correct	green	positive	21	1
83	mixed	782.92166207481	incorrect	red	positive	21	1
83	mixed	619.948564980522	correct	green	negative	21	1
83	mixed	NA	tooslow	red	negative	21	1
83	mixed	483.842854510317	correct	green	positive	21	1
83	mixed	511.136742804338	correct	green	negative	21	1
83	mixed	531.21482890222	correct	red	negative	21	1
83	mixed	NA	tooslow	red	negative	21	1
83	mixed	763.239376471621	incorrect	red	negative	21	1
83	mixed	410.320561540395	incorrect	red	positive	21	1
83	mixed	381.045923188951	correct	green	positive	21	1
83	mixed	410.133215615733	correct	green	positive	21	1
83	mixed	601.981512494649	correct	green	negative	21	1
83	mixed	522.664710479014	correct	red	negative	21	1
83	mixed	566.183460316499	correct	red	positive	21	1
83	mixed	791.371574746226	correct	red	negative	21	1
83	mixed	472.999522516105	correct	red	positive	21	1
83	mixed	360.498433322007	incorrect	green	negative	21	1
83	mixed	655.684480380435	correct	green	positive	21	1
83	mixed	540.67838856614	correct	red	negative	21	1
83	mixed	689.34799044656	incorrect	red	negative	21	1
83	mixed	623.93594225663	correct	red	negative	21	1
83	mixed	543.502612048123	correct	red	positive	21	1
83	mixed	356.927105801588	correct	green	negative	21	1
83	mixed	385.669451028817	incorrect	green	positive	21	1
83	mixed	761.574061239176	correct	red	negative	21	1
83	mixed	484.004498234793	correct	red	positive	21	1
83	mixed	636.594445012693	correct	red	negative	21	1
83	mixed	326.683146548093	correct	green	positive	21	1
83	mixed	731.117647534786	correct	red	positive	21	1
83	mixed	568.508946179497	correct	green	negative	21	1
83	mixed	359.222916073875	correct	green	positive	21	1
83	mixed	393.536481852538	correct	red	negative	21	1
83	mixed	588.994527722621	correct	green	positive	21	1
83	mixed	286.588845748706	correct	green	negative	21	1
83	mixed	511.510396643329	correct	red	positive	21	1
83	mixed	493.655324013925	correct	green	positive	21	1
83	mixed	NA	tooslow	green	negative	21	1
83	mixed	853.169588398936	correct	green	negative	21	1
83	mixed	682.92734047276	correct	red	negative	21	1
83	mixed	346.589887228803	incorrect	red	negative	21	1
83	mixed	632.885312489921	correct	red	negative	21	1
83	mixed	713.048190607581	correct	red	positive	21	1
83	mixed	NA	tooslow	red	negative	21	1
83	mixed	411.477101641746	correct	green	negative	21	1
83	mixed	415.306291940209	correct	red	negative	21	1
