subject_num	condition	rt	response	color	valence	age	gender
125	separate	467.122905942419	incorrect	green	positive	28	2
125	separate	640.805244747079	incorrect	green	negative	28	2
125	separate	617.70345388017	correct	green	positive	28	2
125	separate	682.767052231774	correct	green	positive	28	2
125	separate	406.7073154271	correct	green	negative	28	2
125	separate	743.233992244055	correct	green	negative	28	2
125	separate	NA	tooslow	green	negative	28	2
125	separate	743.50502430817	correct	green	negative	28	2
125	separate	667.837087115854	correct	green	negative	28	2
125	separate	558.903790891645	correct	green	negative	28	2
125	separate	NA	tooslow	green	negative	28	2
125	separate	703.446926169248	correct	green	negative	28	2
125	separate	643.434786470283	correct	green	negative	28	2
125	separate	811.970542320668	correct	green	negative	28	2
125	separate	517.188893966365	correct	green	negative	28	2
125	separate	529.124520641274	correct	green	positive	28	2
125	separate	533.007555800501	correct	green	negative	28	2
125	separate	744.663930113197	correct	green	negative	28	2
125	separate	254.387611674665	correct	green	negative	28	2
125	separate	579.709830096054	correct	green	positive	28	2
125	separate	652.151312936532	incorrect	green	negative	28	2
125	separate	774.692810642883	correct	green	negative	28	2
125	separate	488.823733901512	correct	green	positive	28	2
125	separate	623.84315232464	correct	green	negative	28	2
125	separate	469.206580161253	correct	green	positive	28	2
125	separate	645.059394280349	correct	green	negative	28	2
125	separate	503.539259158259	correct	green	negative	28	2
125	separate	172.002043648336	correct	green	positive	28	2
125	separate	395.585704345187	correct	green	positive	28	2
125	separate	533.676144047804	correct	green	positive	28	2
125	separate	404.539661990398	correct	green	positive	28	2
125	separate	455.885277073554	correct	green	negative	28	2
125	separate	294.387637256509	correct	green	positive	28	2
125	separate	658.17906514822	correct	green	positive	28	2
125	separate	481.206457101395	correct	green	negative	28	2
125	separate	NA	tooslow	green	negative	28	2
125	separate	779.913614107835	incorrect	green	negative	28	2
125	separate	649.688681774142	correct	green	positive	28	2
125	separate	654.658115520661	correct	green	negative	28	2
125	separate	269.453576666943	correct	green	positive	28	2
125	separate	284.688844030035	correct	green	positive	28	2
125	separate	318.809850450439	correct	green	negative	28	2
125	separate	280.692895576838	correct	green	positive	28	2
125	separate	584.215570205265	correct	green	positive	28	2
125	separate	673.120011633943	incorrect	green	negative	28	2
125	separate	NA	tooslow	green	positive	28	2
125	separate	459.101046895832	correct	green	negative	28	2
125	separate	508.630306566158	incorrect	green	negative	28	2
125	separate	668.103875954599	correct	green	negative	28	2
125	separate	396.067402917033	correct	green	negative	28	2
125	separate	365.43166692862	correct	green	positive	28	2
125	separate	420.698960895346	correct	green	positive	28	2
125	separate	306.638375269299	incorrect	green	negative	28	2
125	separate	710.793926681108	correct	green	positive	28	2
125	separate	645.310739940465	correct	green	negative	28	2
125	separate	NA	tooslow	green	positive	28	2
125	separate	495.106307752029	correct	red	positive	28	2
125	separate	361.296771938993	correct	red	positive	28	2
125	separate	225.833667331668	correct	red	positive	28	2
125	separate	589.597501877099	correct	red	negative	28	2
125	separate	NA	tooslow	red	positive	28	2
125	separate	492.757893448305	correct	red	positive	28	2
125	separate	528.273866636036	correct	red	negative	28	2
125	separate	476.395362006584	correct	red	positive	28	2
125	separate	367.863300077814	correct	red	negative	28	2
125	separate	592.050065633705	correct	red	negative	28	2
125	separate	567.58677863429	correct	red	positive	28	2
125	separate	577.945437154815	correct	red	negative	28	2
125	separate	469.719998940223	correct	red	positive	28	2
125	separate	675.095065299837	correct	red	negative	28	2
125	separate	534.129547863241	incorrect	red	negative	28	2
125	separate	266.999508341607	correct	red	positive	28	2
125	separate	235.964699739513	correct	red	positive	28	2
125	separate	NA	tooslow	red	negative	28	2
125	separate	530.263828337424	correct	red	negative	28	2
125	separate	478.44441828615	correct	red	negative	28	2
125	separate	416.662823266267	correct	red	negative	28	2
125	separate	579.967892897132	correct	red	positive	28	2
125	separate	NA	tooslow	red	negative	28	2
125	separate	334.723816912147	correct	red	positive	28	2
125	separate	270.26908722505	incorrect	red	negative	28	2
125	separate	632.433714446503	correct	red	positive	28	2
125	separate	509.262789515731	correct	red	negative	28	2
125	separate	773.108251851469	correct	red	negative	28	2
125	separate	524.338980318369	incorrect	red	negative	28	2
125	separate	NA	tooslow	red	positive	28	2
125	separate	628.707374130626	correct	red	negative	28	2
125	separate	703.359636666059	incorrect	red	positive	28	2
125	separate	692.367720367482	correct	red	negative	28	2
125	separate	561.698629917501	correct	red	negative	28	2
125	separate	595.587195800887	correct	red	negative	28	2
125	separate	361.38086027398	correct	red	positive	28	2
125	separate	391.365220567809	incorrect	red	negative	28	2
125	separate	568.305289596988	correct	red	negative	28	2
125	separate	306.104942781625	correct	red	negative	28	2
125	separate	474.938821774492	incorrect	red	negative	28	2
125	separate	398.919522673525	correct	red	positive	28	2
125	separate	NA	tooslow	red	positive	28	2
125	separate	531.572197315457	correct	red	positive	28	2
125	separate	520.212556894742	correct	red	positive	28	2
